ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL	,Download 2 name,Download 2 URL
,,4060,Abaya Maleekah Aaliia Peach Skin,,,,"De Abaya Maleekah is een statement onder de abaya. Deze kenmerkt zich door de unieke cirkel rok waardoor je het prinsessenjurk effect krijgt. De abaya is bij de borst en polsen voorzien van knopen. Praktisch bij borstvoeding en het verrichten van de wudu. Om het midden heeft het model een touwtje waarmee je de abaya om het midden naar eigen smaak kan aantrekken. Casual en chique! Het verdient de naam Maleekah/Queen!
Wist je dat je met aankoop van dit model de Syrische vluchtelingen in Jordanië steunt? Lees verder bij uitgebreide beschrijving.
Let op: De lengte wijkt af van de normale maleekah.",,,,,,1,0,,,,,,,,,69.99,69.99,,,,https://islamitischekleding.nl/8223-medium_default/abaya-maleekah-aaliia-peach-skin.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-maleekah/4060-27309-abaya-maleekah-aaliia-peach-skin.html,,,,,,,,,,,,,,,
,,2393,Seksualiteit en intimiteit Moslimgezin deel 2,,,,Dit is het tweede deel uit een serie over het islamitische gezin. In deze serie worden de verschillende aspecten van het huwelijk volgens de Soenna besproken.Het huwelijk heeft een centrale plaats in het menselijk leven en is uitvoerig door de islamitische geleerden door de eeuwen heen besproken.Het resultaat van deze besprekingen zijn talloze boeken en boekjes. Hiervan is echter nog maar weinig in het Nederlands vertaald.,,,,,,1,2,,,,,,,,,10.5,10.5,,,,https://islamitischekleding.nl/9901-medium_default/seksualiteit-en-intimiteit-moslimgezin-deel-2.jpg,,,,,,,https://islamitischekleding.nl/nl/huwelijk/2393-seksualiteit-en-intimiteit-moslimgezin-deel-2-2400000008354.html,,,,,,,,,,,,,,,
,,5767,F&C Shoulderbag Pale Pink,,,,Kleine schoudertas in een lichtroze kleur. Heeft een ritssluiting en is incl polsband en schouderband.,,,,,,1,2,,,,,,,,,19.95,19.95,,,,https://islamitischekleding.nl/10975-medium_default/fc-mini-black-bag-croc.jpg,,,,,,,https://islamitischekleding.nl/nl/tassen/5767-fc-mini-black-bag-croc.html,,,,,,,,,,,,,,,
,,3622,Jelleba Sof Grey,,,,"Traditionele Marokkaanse wollen (synt.) jelleba met cappuchion. Deze jelleba wordt over een witte thoub gedragen waarbij deze jelleba iets korter bij de armen dient te vallen zodat de witte thoub er mooi uitsteekt. Zie bij de uitgebreide omschrijving voor de maten en draagtips.
Kijk bij accessoires (hieronder) voor de witte thoub die je eronder hoort te dragen.",,,,,,1,0,,,,,,,,,44.99,44.99,,,,https://islamitischekleding.nl/7040-medium_default/jelleba-sof-grey.jpg,,,,,,,https://islamitischekleding.nl/nl/jelleba/3622-26155-jelleba-sof-grey.html,,,,,,,,,,,,,,,
,,3885,Oversized Jacket Tan,,,,"Stoere oversized jas, perfect bij zacht weer. Aan beide zijden voorzien van diepe zakken. Met de capuchon oogt de jas stoer en jong. Elastieke band bij de polsen. verkrijgbaar in meerdere hippe kleuren.",,,,,,1,1,,,,,,,,,31.96,31.96,,,,https://islamitischekleding.nl/7789-medium_default/oversized-jacket-tan.jpg,,,,,,,https://islamitischekleding.nl/nl/jassen/3885-27105-oversized-jacket-tan.html,,,,,,,,,,,,,,,
,,2648,Maxi Cloche Rok Navy,,,,De maxi cloche rok is een mooi zusje van de Abaya Maleekah. Als je houdt van extra wijde onderzijden dan is dit de perfect rok voor jou. Hij is sierlijk en veelzijdig.  In de taille sluit deze aan met elastiek. Het is een unisize rok ( zelfde maat als onze classic maxi rok) met een lengte van 110cm. De rok is van een viscose gemaakt die niet doorschijnt. Aan één zijde zit er een zak in de rok.,,,,,,1,,,,,,,,,,34.95,34.95,,,,https://islamitischekleding.nl/4656-medium_default/maxi-cloche-rok-navy.jpg,,,,,,,https://islamitischekleding.nl/nl/maxi-rokken-umm-sarah-wear/2648-24413-maxi-cloche-rok-navy.html,,,,,,,,,,,,,,,
,,5534,Qamees Al-Bay Formal Bronze,,,,"Qamees voor heren in leuke kleuren, soepele zachte stof en beschieden maar stoere afwerking. Bij de borst voorzien van knopen en een borstzak. Aan beide zijden beschikt deze qamees over zakken.",,,,,,1,1,,,,,,,,,39.95,39.95,,,,https://islamitischekleding.nl/9994-medium_default/qamees-al-bay-formal-bronze.jpg,,,,,,,https://islamitischekleding.nl/nl/thoub/5534-27751-qamees-al-bay-formal-bronze.html,,,,,,,,,,,,,,,
,,2146,Maxi Jersey Sjaal 80 x 200cm Ash,,,,"100% viscose sjaal in een extra groot formaat, 80 x 200cm.",,,,,,1,3,,,,,,,,,9.95,9.95,,,,https://islamitischekleding.nl/10573-medium_default/maxi-jersey-sjaal-80-x-200cm-ash.jpg,,,,,,,https://islamitischekleding.nl/nl/jersey-80-x-200cm/2146-maxi-jersey-sjaal-80-x-200cm-ash-2400000006305.html,,,,,,,,,,,,,,,
,,3993,HQ Maxi Chiffon Hijaab - Mint,,,,"High Quality (HQ) Hijaab van een extra grote formaat, 100 x 200cm. Hijaab is van hoogwaardige chiffon vervaardigd, voelt hiermee heel soepel en licht aan. Absoluut strijkvrij en behoudt de kwaliteit! De stof geeft een zeer gedegen en chique uitstraling.",,,,,,1,57,,,,,,,,,11.97,11.97,,,,https://islamitischekleding.nl/8035-medium_default/hq-maxi-chiffon-hijaab-mint.jpg,,,,,,,https://islamitischekleding.nl/nl/hq-maxi-chiffon-scarf/3993-27244-hq-maxi-chiffon-hijaab-mint.html,,,,,,,,,,,,,,,
,,3425,Heup Khimar UsW Forest Green,,,,Heup khimar van een fijne soepelvallende stof met een draaglengte vanaf het voorhoofd van 110cm. Khimar is netjes afgewerkt en schijnt niet door. De Khimar heeft een normale gezichtopening en heeft geen kartelrandjes aan de onderkant. De khimar is netjes rondom omgestikt.,,,,,,1,36,,,,,,,,,13.99,13.99,,,,https://islamitischekleding.nl/6485-medium_default/heup-khimar-usw-forest-green-heup-khimar-van-een-fijne-soepelvallende-stof-met-een-draaglengte-vanaf-het-voorhoofd-van-110cm-khi.jpg,,,,,,,https://islamitischekleding.nl/nl/heup-khimar/3425-heup-khimar-usw-forest-green-heup-khimar-van-een-fijne-soepelvallende-stof-met-een-draaglengte-vanaf-het-voorhoofd-van-110cm-khi.html,,,,,,,,,,,,,,,
