allow_customer_reviews,attribute_1_global,attribute_1_name,attribute_1_values,attribute_1_visible,attribute_2_global,attribute_2_name,attribute_2_values,attribute_2_visible,backorders_allowed,button_text,categories,cross_sells,currency,date_sale_price_ends,date_sale_price_starts,description,download_1_URL,download_1_name,download_2_URL,download_2_name,download_expiry_days,download_limit,external_URL,grouped_products,height,images,in_stock,is_featured,length,meta__wpcom_is_markdown,name,parent,position,published,purchase_note,regular_price,sale_price,shipping_class,short_description,sku,sold_individually,stock,tags,tax_class,tax_status,upsells,url,visibility_in_catalog,weight,width
,,Kleur,"Zwart, marineblauw, bordeauxrood, Wit, donkergroen",,,,,,,,Home > Abaya > Gebedskleding,,EUR,,,,,,,,,,,,,https://static.itijara.eu/8136-large_default/gebedskleding-2-delig-katoen.jpg,,,,,Gebedskleding 2 Delig - Katoen,,,1,,None,13.5,,"Wil je voor kwaliteit gaan, kies dan deze gebedskleding. Mooie kwalitatieve gebedskleding gemaakt van Katoen.",158,,,,,,,https://www.libasi.nl/gebedskleding/4628-2658-gebedskleding-2-delig-katoen.html#/158-kleur-zwart,,,
,,Maat,donkerblauw,,,,,,,,Home > Abaya > Abaya met Motief,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/5226-medium_default/abaya-sfifa.jpg,https://static.itijara.eu/10236-medium_default/abaya-sfifa.jpg,https://static.itijara.eu/5226-large_default/abaya-sfifa.jpg,https://static.itijara.eu/10236-large_default/abaya-sfifa.jpg",1,,,,Abaya - Sfifa,,,1,,None,35,,None,159,,,,,,,https://www.libasi.nl/abaya-met-motief/2951-2646-abaya-sfifa.html#/156-maat_s_3xl-m/159-kleur-donkerblauw,,,
,,Kleur,"olijfgroen, marineblauw, Grijspaars",,,,,,,,Home > Abaya > Tunieken,,EUR,,,,,,,,,,,,,https://static.itijara.eu/5228-large_default/tuniek-touwtjes.jpg,,,,,Tuniek - Touwtjes,,,1,,"19,95",17.96,,"Beschikbaar in 1 maat die geschikt is voor dames met een maatje M, L of XL",166,,,,,,,https://www.libasi.nl/tunieken/2964-2636-tuniek-touwtjes.html#/166-kleur-olijfgroen,,,
,,kledingmaat,maat 44,,,,,,,,Home > Abaya > Abaya met Motief,,EUR,,,,,,,,,,,,,https://static.itijara.eu/5222-large_default/abaya-bloemetjes.jpg,,,,,Abaya Bloemetjes,,,1,,"49,95",44.96,,None,216,,,,,,,https://www.libasi.nl/abaya-met-motief/2959-2645-abaya-bloemetjes.html#/216-kledingmaat-maat_44,,,
,,Kleur,"Zwart, donkerpaars, lichtgrijs, Donkergrijspaars, marineblauw, Wit, Beige, Taupe, Donkerrood, Grijs",,,,,,,,Home > Abaya > Gebedskleding,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/7169-medium_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7170-medium_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7171-medium_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7172-medium_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7173-medium_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7169-large_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7170-large_default/gebedskleding-1-delig-kant.jpg,https://static.itijara.eu/7171-large_default/gebedskleding-1-delig-kant.jpg",,,,,Gebedskleding 1 delig - kant,,,1,,None,14.95,,Let op de kanten versierrand verschilt van de foto. Zie extra foto's.,188,,,,,,,https://www.libasi.nl/gebedskleding/4155-1882-gebedskleding-1-delig-kant.html#/188-kleur-taupe,,,
,,Size,"36, 37, 38, 39, 40, 41",,,,,,,,Home > schoenen,,EUR,,,Heerlijk zachte slippers. lekker warm voor thuis.,,,,,,,,,,"https://static.itijara.eu/1613-medium_default/parel-slippers-sloffen.jpg,https://static.itijara.eu/1612-medium_default/parel-slippers-sloffen.jpg,https://static.itijara.eu/1613-large_default/parel-slippers-sloffen.jpg,https://static.itijara.eu/1612-large_default/parel-slippers-sloffen.jpg",1,,,,parel slippers (sloffen),,,1,,"8,95",4.48,,Heerlijk zachte slippers. lekker warm voor thuis.,237,,,"schoenen,
                ,slippers,
                ,sloffen,
                ",,,,https://www.libasi.nl/schoenen/868-456-parel-slippers-sloffen.html#/237-shoes_size-36,,,
,,Size,"36, 37, 38, 39, 40, 41",,,,,,,,Home > schoenen,,EUR,,,Prachtige veterschoenen in mooie oudroze kleur.,,,,,,,,,,"https://static.itijara.eu/1615-medium_default/veterschoenen-oud-roze.jpg,https://static.itijara.eu/1614-medium_default/veterschoenen-oud-roze.jpg,https://static.itijara.eu/1615-large_default/veterschoenen-oud-roze.jpg,https://static.itijara.eu/1614-large_default/veterschoenen-oud-roze.jpg",,,,,veterschoenen oud-roze,,,1,,"17,95",8.98,,None,237,,,"schoenen,
                ,instappers,
                ,veterschoenen,
                ",,,,https://www.libasi.nl/schoenen/869-462-veterschoenen-oud-roze.html#/237-shoes_size-36,,,
,,Kleur,"Zwart, Grijs",,,,,,,,Home > schoenen,,EUR,,,Mooie instappers met strik. Beschikbaar in zwart en grijs.,,,,,,,,,,"https://static.itijara.eu/1621-medium_default/instappers-met-strik.jpg,https://static.itijara.eu/1619-medium_default/instappers-met-strik.jpg,https://static.itijara.eu/1620-medium_default/instappers-met-strik.jpg,https://static.itijara.eu/1618-medium_default/instappers-met-strik.jpg,https://static.itijara.eu/1621-large_default/instappers-met-strik.jpg,https://static.itijara.eu/1619-large_default/instappers-met-strik.jpg,https://static.itijara.eu/1620-large_default/instappers-met-strik.jpg",,,,,instappers met strik,,,1,,"17,95",8.98,,Mooie instappers met strik.,237,,,"schoenen,
                ,instappers,
                ,veterschoenen,
                ",,,,https://www.libasi.nl/schoenen/871-480-instappers-met-strik.html#/209-kleur-grijs/237-shoes_size-36,,,
,,Size,"40, 41, 42, 43, 44, 45",,,,,,,,Home > schoenen,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/6684-medium_default/leren-gebedssokken.jpg,https://static.itijara.eu/6683-medium_default/leren-gebedssokken.jpg,https://static.itijara.eu/6684-large_default/leren-gebedssokken.jpg,https://static.itijara.eu/6683-large_default/leren-gebedssokken.jpg",,,,,Leren Gebedssokken,,,1,,"19,95",15.96,,"Leren Gebedssokken, gemaakt van echt schapen en geitenleder.",3848,,,,,,,https://www.libasi.nl/schoenen/3848-2032-leren-gebedssokken.html#,,,
,,None,,,,,,,,,Home > Hijab & hijab accessoires > Hoofddoeken,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/10278-medium_default/satijnen-hoofddoek-met-print.jpg,https://static.itijara.eu/10279-medium_default/satijnen-hoofddoek-met-print.jpg,https://static.itijara.eu/10278-large_default/satijnen-hoofddoek-met-print.jpg,https://static.itijara.eu/10279-large_default/satijnen-hoofddoek-met-print.jpg",,,,,Satijnen Hoofddoek met Print,,,1,,None,4.95,,None,6010,,,,,,,https://www.libasi.nl/hoofddoeken/6010-satijnen-hoofddoek-met-print.html,,,
